Sample,Time,Ann Class,Value,
32190592,160.953 ms,Packet: DATA1,DATA1 [ 2C 03 53 00 54 00 4D 00 33 00 32 00 20 00 56 00 69 00 72 00 74 00 75 00 61 00 6C 00 20 00 43 00 6F 00 6D 00 50 00 6F 00 72 00 74 00 ],
32197111,160.986 ms,Packet: ACK,ACK,
32200295,161.001 ms,Packet: OUT,OUT ADDR 16 EP 0,
32200945,161.005 ms,Packet: DATA1,DATA1 [ ],
32201582,161.008 ms,Packet: ACK,ACK,
36654457,183.272 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
36655107,183.276 ms,Packet: DATA0,DATA0 [ 80 06 00 06 00 00 0A 00 ],
36656809,183.284 ms,Packet: ACK,ACK,
36659290,183.296 ms,Packet: IN,IN ADDR 16 EP 0,
36659922,183.300 ms,Packet: STALL,STALL,
